Category,Confirmed cases Barisal,Case rate Barisal,Deaths Barisal,Death Rate Barisal,Confirmed cases CTG,Case rate CTG,Deaths CTG,Death Rate CTG,Confirmed cases DHK,Case rate DHK,Deaths DHK,Death Rate DHK,Confirmed cases Khulna,Case rate Khulna,Deaths Khulna,Death Rate Khulna,Confirmed cases MMsingh,Case rate MMsingh,Deaths MMsingh,Death Rate MMsingh,Confirmed cases Rajshahi,Case rate Rajshahi,Deaths Rajshahi,Death Rate Rajshahi,Confirmed cases Rajshahi,Case rate Rajshahi,Deaths Rajshahi,Death Rate Rajshahi,Confirmed cases Sylhet,Case rate Sylhet,Deaths Sylhet,Death Rate Sylhet,Confirmed cases allover Bangladesh,Case rate allover Bangladesh,Deaths allover Bangladesh,Death Rate allover Bangladesh
Mar-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-20,1,7,,,,,,,3.00,18.00,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-20,1,13,,,1,50,,,55.00,40.00,,,,,,,,,,,1.00,50.00,,,,,,,,,,,,,,
Mar-20,,,,,2,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-20,,,1,25,,,1,25,,,1.00,25.00,,,1.00,25.00,,,1.00,25.00,,,1.00,25.00,,,1.00,25.00,,,1.00,25.00,,,1.00,25.00
Mar-20,,,,,,,,,1.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-20,,,,,,,,,1.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-20,,,1,25,,,1,25,,,1.00,25.00,,,1.00,25.00,,,1.00,25.00,,,1.00,25.00,,,1.00,25.00,,,1.00,25.00,,,1.00,25.00
Mar-20,,,,,,,,,1.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-20,,,1,16.7,,,1,16.7,,,1.00,16.70,,,1.00,16.70,,,1.00,16.70,,,1.00,16.70,,,1.00,16.70,,,1.00,16.70,,,1.00,16.70
Mar-20,,,1,16.7,,,1,16.7,,,1.00,16.70,,,1.00,16.70,,,1.00,16.70,,,1.00,16.70,,,1.00,16.70,,,1.00,16.70,,,1.00,16.70
Mar-20,,,1,0,,,1,0,1.00,100.00,1.00,0.00,,,1.00,0.00,,,1.00,0.00,,,1.00,0.00,,,1.00,0.00,,,1.00,0.00,,,1.00,0.00
Mar-20,,,,,,,,,1.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-20,,,,,,,,,1.00,100.00,,,,,,,,,,,,,,,1.00,100.00,,,,,,,,,,
Mar-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-20,,,,,,,,,1.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-20,,,1,33.3,,,1,33.3,,,1.00,33.30,,,1.00,33.30,,,1.00,33.30,,,1.00,33.30,,,1.00,33.30,1.00,100.00,1.00,33.30,,,1.00,33.30
Apr-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-20,,,,,,,,,,,,,,,,,,,,,,,,,1.00,33.00,,,,,,,5.00,2.00,,
Apr-20,,,2,22.2,,,2,22.2,17.00,17.00,2.00,22.20,,,2.00,22.20,,,2.00,22.20,,,2.00,22.20,,,2.00,22.20,1.00,17.00,2.00,22.20,9.00,2.00,2.00,22.20
Apr-20,,,1,5.6,,,1,5.6,14.00,54.00,1.00,5.60,,,1.00,5.60,3.00,16.00,1.00,5.60,,,1.00,5.60,,,1.00,5.60,2.00,100.00,1.00,5.60,18.00,5.00,1.00,5.60
Apr-20,,,3,8.6,,,3,8.6,22.00,37.00,3.00,8.60,,,3.00,8.60,,,3.00,8.60,,,3.00,8.60,2.00,18.00,3.00,8.60,,,3.00,8.60,35.00,7.00,3.00,8.60
Apr-20,,,5,12.2,2,7,5,12.2,36.00,80.00,5.00,12.20,,,5.00,12.20,,,5.00,12.20,,,5.00,12.20,4.00,50.00,5.00,12.20,,,5.00,12.20,41.00,6.00,5.00,12.20
Apr-20,1,25,3,5.6,6,23,3,5.6,110.00,50.00,3.00,5.60,,,3.00,5.60,3.00,9.00,3.00,5.60,,,3.00,5.60,1.00,13.00,3.00,5.60,1.00,3.00,3.00,5.60,54.00,6.00,3.00,5.60
Apr-20,,,1,0.9,4,12,1,0.9,98.00,61.00,1.00,0.90,,,1.00,0.90,4.00,8.00,1.00,0.90,3.00,100.00,1.00,0.90,2.00,20.00,1.00,0.90,2.00,2.00,1.00,0.90,112.00,12.00,1.00,0.90
Apr-20,,,6,6.4,9,25,6,6.4,55.00,83.00,6.00,6.40,2.00,9.00,6.00,6.40,3.00,7.00,6.00,6.40,1.00,100.00,6.00,6.40,1.00,14.00,6.00,6.40,1.00,1.00,6.00,6.40,94.00,8.00,6.00,6.40
Apr-20,2,13,3,5.2,6,50,3,5.2,34.00,69.00,3.00,5.20,1.00,3.00,3.00,5.20,3.00,75.00,3.00,5.20,,,3.00,5.20,7.00,58.00,3.00,5.20,,,3.00,5.20,58.00,6.00,3.00,5.20
Apr-20,8,35,4,2.9,3,9,4,2.9,84.00,41.00,4.00,2.90,4.00,9.00,4.00,2.90,13.00,24.00,4.00,2.90,3.00,75.00,4.00,2.90,3.00,20.00,4.00,2.90,7.00,8.00,4.00,2.90,139.00,10.00,4.00,2.90
Apr-20,8,73,5,2.7,8,36,5,2.7,129.00,25.00,5.00,2.70,5.00,21.00,5.00,2.70,15.00,21.00,5.00,2.70,8.00,73.00,5.00,2.70,4.00,50.00,5.00,2.70,1.00,1.00,5.00,2.70,182.00,12.00,5.00,2.70
Apr-20,4,44,7,3.3,6,17,7,3.3,129.00,40.00,7.00,3.30,3.00,5.00,7.00,3.30,19.00,16.00,7.00,3.30,1.00,50.00,7.00,3.30,13.00,38.00,7.00,3.30,6.00,7.00,7.00,3.30,209.00,11.00,7.00,3.30
Apr-20,4,13,4,1.8,6,29,4,1.8,187.00,28.00,4.00,1.80,,,4.00,1.80,23.00,16.00,4.00,1.80,,,4.00,1.80,3.00,43.00,4.00,1.80,3.00,5.00,4.00,1.80,219.00,13.00,4.00,1.80
Apr-20,8,38,10,2.9,12,30,10,2.9,245.00,62.00,10.00,2.90,2.00,1.00,10.00,2.90,22.00,15.00,10.00,2.90,1.00,33.00,10.00,2.90,,,10.00,2.90,2.00,3.00,10.00,2.90,341.00,17.00,10.00,2.90
Apr-20,8,40,15,5.6,8,18,15,5.6,250.00,33.00,15.00,5.60,1.00,1.00,15.00,5.60,24.00,15.00,15.00,5.60,3.00,100.00,15.00,5.60,8.00,44.00,15.00,5.60,4.00,5.00,15.00,5.60,266.00,12.00,15.00,5.60
Apr-20,4,22,9,2.9,11,85,9,2.9,263.00,66.00,9.00,2.90,6.00,21.00,9.00,2.90,17.00,10.00,9.00,2.90,,,9.00,2.90,5.00,100.00,9.00,2.90,2.00,100.00,9.00,2.90,306.00,14.00,9.00,2.90
Apr-20,6,60,7,2.2,8,14,7,2.2,344.00,61.00,7.00,2.20,6.00,100.00,7.00,2.20,23.00,32.00,7.00,2.20,1.00,50.00,7.00,2.20,3.00,100.00,7.00,2.20,3.00,100.00,7.00,2.20,312.00,12.00,7.00,2.20
Apr-20,8,36,10,2,6,18,10,2,276.00,53.00,10.00,2.00,4.00,100.00,10.00,2.00,33.00,16.00,10.00,2.00,6.00,75.00,10.00,2.00,11.00,100.00,10.00,2.00,12.00,100.00,10.00,2.00,492.00,18.00,10.00,2.00
Apr-20,8,27,9,2.1,7,54,9,2.1,282.00,47.00,9.00,2.10,7.00,100.00,9.00,2.10,37.00,29.00,9.00,2.10,3.00,100.00,9.00,2.10,5.00,63.00,9.00,2.10,10.00,77.00,9.00,2.10,434.00,15.00,9.00,2.10
Apr-20,6,29,10,2.6,6,75,10,2.6,215.00,78.00,10.00,2.60,9.00,100.00,10.00,2.60,6.00,100.00,10.00,2.60,,,10.00,2.60,10.00,83.00,10.00,2.60,20.00,100.00,10.00,2.60,390.00,13.00,10.00,2.60
Apr-20,8,33,7,1.7,8,13,7,1.7,157.00,69.00,7.00,1.70,4.00,100.00,7.00,1.70,8.00,80.00,7.00,1.70,2.00,67.00,7.00,1.70,10.00,71.00,7.00,1.70,20.00,91.00,7.00,1.70,414.00,12.00,7.00,1.70
Apr-20,21,55,4,0.8,10,16,4,0.8,304.00,77.00,4.00,0.80,11.00,16.00,4.00,0.80,37.00,97.00,4.00,0.80,6.00,75.00,4.00,0.80,18.00,100.00,4.00,0.80,12.00,17.00,4.00,0.80,503.00,14.00,4.00,0.80
Apr-20,7,29,9,2.9,3,6,9,2.9,183.00,61.00,9.00,2.90,2.00,3.00,9.00,2.90,12.00,100.00,9.00,2.90,41.00,11.00,9.00,2.90,6.00,17.00,9.00,2.90,10.00,16.00,9.00,2.90,309.00,9.00,9.00,2.90
Apr-20,7,29,5,1.2,5,6,5,1.2,322.00,43.00,5.00,1.20,12.00,8.00,5.00,1.20,33.00,97.00,5.00,1.20,16.00,94.00,5.00,1.20,11.00,69.00,5.00,1.20,60.00,26.00,5.00,1.20,418.00,12.00,5.00,1.20
Apr-20,9,15,7,1.4,22,28,7,1.4,277.00,66.00,7.00,1.40,2.00,6.00,7.00,1.40,30.00,100.00,7.00,1.40,6.00,12.00,7.00,1.40,25.00,96.00,7.00,1.40,35.00,40.00,7.00,1.40,497.00,13.00,7.00,1.40
Apr-20,3,25,3,0.5,55,30,3,0.5,391.00,73.00,3.00,0.50,5.00,100.00,3.00,0.50,23.00,96.00,3.00,0.50,5.00,100.00,3.00,0.50,8.00,11.00,3.00,0.50,12.00,23.00,3.00,0.50,549.00,13.00,3.00,0.50
Apr-20,10,30,8,1.2,43,38,8,1.2,505.00,46.00,8.00,1.20,5.00,26.00,8.00,1.20,24.00,26.00,8.00,1.20,4.00,5.00,8.00,1.20,4.00,100.00,8.00,1.20,4.00,15.00,8.00,1.20,641.00,13.00,8.00,1.20
Apr-20,2,5,5,0.9,31,13,5,0.9,489.00,52.00,5.00,0.90,8.00,80.00,5.00,0.90,18.00,86.00,5.00,0.90,30.00,77.00,5.00,0.90,4.00,80.00,5.00,0.90,19.00,9.00,5.00,0.90,564.00,11.00,5.00,0.90
May-20,2,3,2,0.4,12,7,2,0.4,445.00,55.00,2.00,0.40,3.00,75.00,2.00,0.40,8.00,89.00,2.00,0.40,2.00,100.00,2.00,0.40,2.00,100.00,2.00,0.40,13.00,18.00,2.00,0.40,571.00,10.00,2.00,0.40
May-20,6,8,5,0.9,15,12,5,0.9,320.00,43.00,5.00,0.90,5.00,5.00,5.00,0.90,25.00,93.00,5.00,0.90,2.00,100.00,5.00,0.90,13.00,28.00,5.00,0.90,4.00,1.00,5.00,0.90,552.00,9.00,5.00,0.90
May-20,7,6,2,0.3,16,4,2,0.3,297.00,29.00,2.00,0.30,1.00,1.00,2.00,0.30,23.00,96.00,2.00,0.30,1.00,4.00,2.00,0.30,2.00,50.00,2.00,0.30,4.00,80.00,2.00,0.30,665.00,12.00,2.00,0.30
