Category,Death_Cases_Barisal,Death_Rate_Barisal,Confirmed_Cases_Barisal,Confirmed_Rate_Barisal,Death_Cases_CTG,Death_Rate_CTG,Confirmed_Cases_CTG,Confirmed_Rate_CTG,Death_Cases_DHK,Death_Rate_DHK,Confirmed_Cases_DHK,Confirmed_Rate_DHK,Death_Cases_Khulna,Death_Rate_Khulna,Confirmed_Cases_Khulna,Confirmed_Rate_Khulna,Death_Cases_Msingh,Death_Rate_Msingh,Confirmed_Cases_Msingh,Confirmed_Rate_Msingh,Death_Cases_Rajshahi,Death_Rate_Rajshahi,Confirmed_Cases_Rajshahi,Confirmed_Rate_Rajshahi,Death_Cases_Rangpur,Death_Rate_Rangpur,Confirmed_Cases_Rangpur,Confirmed_Rate_Rangpur,Death_Cases_sylhet,Death_Rate_sylhet,Confirmed_Cases_sylhet,Confirmed_Rate_sylhet
March-18,1,25.0,1,25.0,1,25.0,1,25.0,1,25.0,1,25.0,1,25.0,1,25.0,1,25.0,1.0,25.0,1,25.0,1,25.0,1,25.0,1.0,25.0,1,25.0,1,25.0
March-21,1,25.0,1,25.0,1,25.0,1,25.0,1,25.0,1,25.0,1,25.0,1,25.0,1,25.0,1.0,25.0,1,25.0,1,25.0,1,25.0,1.0,25.0,1,25.0,1,25.0
March-23,1,16.7,1,16.7,1,16.7,1,16.7,1,16.7,1,16.7,1,16.7,1,16.7,1,16.7,1.0,16.7,1,16.7,1,16.7,1,16.7,1.0,16.7,1,16.7,1,16.7
March-24,1,16.7,1,16.7,1,16.7,1,16.7,1,16.7,1,16.7,1,16.7,1,16.7,1,16.7,1.0,16.7,1,16.7,1,16.7,1,16.7,1.0,16.7,1,16.7,1,16.7
March-25,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0
April-01,1,33.3,1,33.3,1,33.3,1,33.3,1,33.3,1,33.3,1,33.3,1,33.3,1,33.3,1.0,33.3,1,33.3,1,33.3,1,33.3,1.0,33.3,1,33.3,1,33.3
April-04,2,22.2,2,22.2,2,22.2,2,22.2,2,22.2,2,22.2,2,22.2,2,22.2,2,22.2,2.0,22.2,2,22.2,2,22.2,2,22.2,2.0,22.2,2,22.2,2,22.2
April-05,1,5.6,1,5.6,1,5.6,1,5.6,1,5.6,1,5.6,1,5.6,1,5.6,1,5.6,1.0,5.6,1,5.6,1,5.6,1,5.6,1.0,5.6,1,5.6,1,5.6
April-06,3,8.6,3,8.6,3,8.6,3,8.6,3,8.6,3,8.6,3,8.6,3,8.6,3,8.6,3.0,8.6,3,8.6,3,8.6,3,8.6,3.0,8.6,3,8.6,3,8.6
April-07,5,12.2,5,12.2,5,12.2,5,12.2,5,12.2,5,12.2,5,12.2,5,12.2,5,12.2,5.0,12.2,5,12.2,5,12.2,5,12.2,5.0,12.2,5,12.2,5,12.2
April-08,3,5.6,3,5.6,3,5.6,3,5.6,3,5.6,3,5.6,3,5.6,3,5.6,3,5.6,3.0,5.6,3,5.6,3,5.6,3,5.6,3.0,5.6,3,5.6,3,5.6
April-09,1,0.9,1,0.9,1,0.9,1,0.9,1,0.9,1,0.9,1,0.9,1,0.9,1,0.9,1.0,0.9,1,0.9,1,0.9,1,0.9,1.0,0.9,1,0.9,1,0.9
April-10,6,6.4,6,6.4,6,6.4,6,6.4,6,6.4,6,6.4,6,6.4,6,6.4,6,6.4,6.0,6.4,6,6.4,6,6.4,6,6.4,6.0,6.4,6,6.4,6,6.4
April-11,3,5.2,3,5.2,3,5.2,3,5.2,3,5.2,3,5.2,3,5.2,3,5.2,3,5.2,3.0,5.2,3,5.2,3,5.2,3,5.2,3.0,5.2,3,5.2,3,5.2
April-12,4,2.9,4,2.9,4,2.9,4,2.9,4,2.9,4,2.9,4,2.9,4,2.9,4,2.9,4.0,2.9,4,2.9,4,2.9,4,2.9,4.0,2.9,4,2.9,4,2.9
April-13,5,2.7,5,2.7,5,2.7,5,2.7,5,2.7,5,2.7,5,2.7,5,2.7,5,2.7,5.0,2.7,5,2.7,5,2.7,5,2.7,5.0,2.7,5,2.7,5,2.7
April-14,7,3.3,7,3.3,7,3.3,7,3.3,7,3.3,7,3.3,7,3.3,7,3.3,7,3.3,7.0,3.3,7,3.3,7,3.3,7,3.3,7.0,3.3,7,3.3,7,3.3
April-15,4,1.8,4,1.8,4,1.8,4,1.8,4,1.8,4,1.8,4,1.8,4,1.8,4,1.8,4.0,1.8,4,1.8,4,1.8,4,1.8,4.0,1.8,4,1.8,4,1.8
April-16,10,2.9,10,2.9,10,2.9,10,2.9,10,2.9,10,2.9,10,2.9,10,2.9,10,2.9,10.0,2.9,10,2.9,10,2.9,10,2.9,10.0,2.9,10,2.9,10,2.9
April-17,15,5.6,15,5.6,15,5.6,15,5.6,15,5.6,15,5.6,15,5.6,15,5.6,15,5.6,15.0,5.6,15,5.6,15,5.6,15,5.6,15.0,5.6,15,5.6,15,5.6
April-18,9,2.9,9,2.9,9,2.9,9,2.9,9,2.9,9,2.9,9,2.9,9,2.9,9,2.9,9.0,2.9,9,2.9,9,2.9,9,2.9,9.0,2.9,9,2.9,9,2.9
April-19,7,2.2,7,2.2,7,2.2,7,2.2,7,2.2,7,2.2,7,2.2,7,2.2,7,2.2,7.0,2.2,7,2.2,7,2.2,7,2.2,7.0,2.2,7,2.2,7,2.2
April-20,10,2.0,10,2.0,10,2.0,10,2.0,10,2.0,10,2.0,10,2.0,10,2.0,10,2.0,10.0,2.0,10,2.0,10,2.0,10,2.0,10.0,2.0,10,2.0,10,2.0
