Category,Confirmed cases Barisal,Case rate Barisal,Death cases Barisal,Death Rate Barisal,Confirmed cases CTG,Case rate CTG,Death cases CTG,Death Rate CTG
March-01,,,,,,,,
March-02,,,,,,,,
March-03,,,,,,,,
March-04,,,,,,,,
March-05,,,,,,,,
March-06,1.00,7.00,,,,,,
March-07,,,,,,,,
March-08,1.00,13.00,,,1.00,50.00,,
March-09,,,,,2.00,33.00,,
March-10,,,,,,,,
March-11,,,,,,,,
March-12,,,,,,,,
March-13,,,,,,,,
March-14,,,,,,,,
March-15,,,,,,,,
March-16,,,,,,,,
March-17,,,,,,,,
March-18,,,1.00,25.00,,,1.00,25.00
March-19,,,,,,,,
March-20,,,,,,,,
March-21,,,1.00,25.00,,,1.00,25.00
March-22,,,,,,,,
March-23,,,1.00,16.70,,,1.00,16.70
March-24,,,1.00,16.70,,,1.00,16.70
March-25,,,1.00,0.00,,,1.00,0.00
March-26,,,,,,,,
March-27,,,,,,,,
March-28,,,,,,,,
March-29,,,,,,,,
March-30,,,,,,,,
March-31,,,,,,,,
April-01,,,1.00,33.30,,,1.00,33.30
April-02,,,,,,,,
April-03,,,,,,,,
April-04,,,2.00,22.20,,,2.00,22.20
April-05,,,1.00,5.60,,,1.00,5.60
April-06,,,3.00,8.60,,,3.00,8.60
April-07,,,5.00,12.20,2.00,7.00,5.00,12.20
April-08,1.00,25.00,3.00,5.60,6.00,23.00,3.00,5.60
April-09,,,1.00,0.90,4.00,12.00,1.00,0.90
April-10,,,6.00,6.40,9.00,25.00,6.00,6.40
April-11,2.00,13.00,3.00,5.20,6.00,50.00,3.00,5.20
April-12,8.00,35.00,4.00,2.90,3.00,9.00,4.00,2.90
April-13,8.00,73.00,5.00,2.70,8.00,36.00,5.00,2.70
April-14,4.00,44.00,7.00,3.30,6.00,17.00,7.00,3.30
April-15,4.00,13.00,4.00,1.80,6.00,29.00,4.00,1.80
April-16,8.00,38.00,10.00,2.90,12.00,30.00,10.00,2.90
April-17,8.00,40.00,15.00,5.60,8.00,18.00,15.00,5.60
April-18,4.00,22.00,9.00,2.90,11.00,85.00,9.00,2.90
April-19,6.00,60.00,7.00,2.20,8.00,14.00,7.00,2.20
April-20,8.00,36.00,10.00,2.00,6.00,18.00,10.00,2.00
April-21,8.00,27.00,9.00,2.10,7.00,54.00,9.00,2.10
April-22,6.00,29.00,10.00,2.60,6.00,75.00,10.00,2.60
April-23,8.00,33.00,7.00,1.70,8.00,13.00,7.00,1.70
April-24,21.00,55.00,4.00,0.80,10.00,16.00,4.00,0.80
April-25,7.00,29.00,9.00,2.90,3.00,6.00,9.00,2.90
April-26,7.00,29.00,5.00,1.20,5.00,6.00,5.00,1.20
April-27,9.00,15.00,7.00,1.40,22.00,28.00,7.00,1.40
April-28,3.00,25.00,3.00,0.50,55.00,30.00,3.00,0.50
April-29,10.00,30.00,8.00,1.20,43.00,38.00,8.00,1.20
April-30,2.00,5.00,5.00,0.90,31.00,13.00,5.00,0.90
May-01,2.00,3.00,2.00,0.40,12.00,7.00,2.00,0.40
May-02,6.00,8.00,5.00,0.90,15.00,12.00,5.00,0.90
May-03,7.00,6.00,2.00,0.30,16.00,4.00,2.00,0.30
May-04,7.00,8.00,5.00,0.70,6.00,5.00,5.00,0.70
May-05,5.00,3.00,1.00,0.10,27.00,13.00,1.00,0.10
May-06,4.00,3.00,3.00,0.40,17.00,8.00,3.00,0.40
May-07,,,13.00,1.80,13.00,4.00,13.00,1.80
May-08,12.00,23.00,7.00,1.00,3.00,2.00,7.00,1.00
May-09,4.00,6.00,8.00,1.30,10.00,10.00,8.00,1.30
May-10,7.00,9.00,14.00,1.60,,,14.00,1.60
May-11,3.00,30.00,11.00,1.10,1.00,17.00,11.00,1.10
May-12,6.00,7.00,11.00,1.10,27.00,9.00,11.00,1.10
May-13,,,19.00,1.60,3.00,4.00,19.00,1.60
May-14,,,14.00,1.30,4.00,5.00,14.00,1.30
May-15,,,15.00,1.20,11.00,11.00,15.00,1.20
May-16,14.00,5.00,16.00,1.70,35.00,12.00,16.00,1.70
May-17,15.00,5.00,14.00,1.10,58.00,11.00,14.00,1.10
May-18,10.00,13.00,21.00,1.30,70.00,16.00,21.00,1.30
May-19,30.00,17.00,21.00,1.70,69.00,19.00,21.00,1.70
May-20,3.00,2.00,16.00,1.00,97.00,20.00,16.00,1.00
May-21,24.00,10.00,22.00,1.20,78.00,16.00,22.00,1.20
May-22,14.00,12.00,24.00,1.40,80.00,15.00,24.00,1.40
May-23,10.00,3.00,20.00,1.10,113.00,18.00,20.00,1.10
May-24,34.00,17.00,28.00,1.80,108.00,30.00,28.00,1.80
May-25,21.00,22.00,21.00,1.10,53.00,20.00,21.00,1.10
May-26,17.00,9.00,21.00,1.80,104.00,10.00,21.00,1.80
May-27,20.00,6.00,22.00,1.40,159.00,19.00,22.00,1.40
May-28,11.00,10.00,15.00,0.70,127.00,28.00,15.00,0.70
May-29,54.00,14.00,23.00,0.90,194.00,17.00,23.00,0.90
May-30,54.00,19.00,28.00,1.60,74.00,17.00,28.00,1.60
May-31,68.00,21.00,40.00,1.60,100.00,19.00,40.00,1.60
June-01,63.00,14.00,22.00,0.90,180.00,24.00,22.00,0.90
June-02,57.00,16.00,37.00,1.30,383.00,24.00,37.00,1.30
June-03,66.00,11.00,37.00,1.40,227.00,22.00,37.00,1.40
June-04,94.00,14.00,35.00,1.40,336.00,24.00,35.00,1.40
June-05,59.00,13.00,30.00,1.10,366.00,23.00,30.00,1.10
June-06,82.00,16.00,35.00,1.30,311.00,24.00,35.00,1.30
June-07,1.00,9.00,42.00,1.50,187.00,20.00,42.00,1.50
June-08,96.00,42.00,42.00,1.50,422.00,22.00,42.00,1.50
June-09,47.00,25.00,45.00,1.40,385.00,22.00,45.00,1.40
June-10,82.00,38.00,37.00,1.20,359.00,26.00,37.00,1.20
June-11,74.00,36.00,37.00,1.20,419.00,25.00,37.00,1.20
June-12,123.00,22.00,46.00,1.30,256.00,28.00,46.00,1.30
June-13,91.00,16.00,44.00,1.50,419.00,26.00,44.00,1.50
June-14,93.00,32.00,32.00,1.00,364.00,26.00,32.00,1.00
June-15,142.00,19.00,38.00,1.20,428.00,29.00,38.00,1.20
June-16,92.00,22.00,53.00,1.40,553.00,31.00,53.00,1.40
June-17,98.00,42.00,43.00,1.10,640.00,24.00,43.00,1.10
June-18,81.00,33.00,38.00,1.00,363.00,24.00,38.00,1.00
June-19,72.00,35.00,45.00,1.40,485.00,29.00,45.00,1.40
June-20,93.00,54.00,37.00,1.10,491.00,37.00,37.00,1.10
June-21,85.00,37.00,39.00,1.10,564.00,29.00,39.00,1.10
June-22,102.00,34.00,38.00,1.10,707.00,26.00,38.00,1.10
June-23,64.00,27.00,43.00,1.30,675.00,28.00,43.00,1.30
June-24,99.00,29.00,37.00,1.10,633.00,25.00,37.00,1.10
June-25,78.00,30.00,39.00,1.00,680.00,25.00,39.00,1.00
June-26,127.00,19.00,40.00,1.00,555.00,26.00,40.00,1.00
